Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2,Gene names
0.47858,0.38779,0.45976,0.29658,0.60088,0.41644,0.45131,0.48072,NaN,0.76998,0.60581,0.48342,0.49769,0.69945,0.61885,0.74753,
NaN,NaN,0.58016,0.83563,NaN,NaN,NaN,NaN,0.69649,0.77876,NaN,NaN,0.75107,0.8011,NaN,0.82295,Ucp4A
0.32684,0.85237,0.73158,NaN,0.43216,0.57326,0.71487,0.90747,NaN,0.78267,0.35484,0.51583,1.0792,NaN,NaN,0.79428,Rpd3
0.37857,0.30836,0.63099,0.53263,0.5973,0.44489,0.50489,0.60389,NaN,0.78585,0.35416,0.37144,0.62709,0.64904,0.52875,0.65284,UbcD4
0.33383,0.3908,0.50693,0.51159,0.33199,0.35113,0.48207,0.6336,NaN,0.79789,0.50046,0.61158,0.59602,0.39424,0.63223,0.7365,CSN5
1.5917,1.7997,0.70345,0.66614,1.4731,NaN,0.58538,0.60084,NaN,0.80004,2.0788,1.5664,0.61901,0.70188,0.68661,0.73879,
0.94551,0.9835,1.012,0.97132,0.88141,1.0437,0.97572,1.0154,NaN,0.82924,1.1229,0.87206,0.85128,0.94758,0.88283,1.0867,Rab8
2.4149,2.1406,1.1553,0.97769,NaN,1.8588,0.93894,1.1416,NaN,0.83579,1.9479,1.8918,1.0624,1.0875,1.0599,0.94708,Gs1l
0.22831,0.25692,0.71933,0.68502,0.30466,0.30749,0.78457,0.5636,NaN,0.83969,0.35004,0.38024,0.90605,0.54432,0.97927,0.99816,RpL23
NaN,NaN,NaN,0.6238,NaN,NaN,NaN,NaN,0.34011,0.87369,NaN,NaN,NaN,NaN,NaN,0.6995,Irc
1.6153,1.6163,1.2511,1.6577,1.526,1.4777,1.4099,1.7264,NaN,0.88227,1.6756,1.3307,1.25,1.0965,1.2045,1.2017,
0.29725,0.30061,0.56654,0.36666,0.47036,NaN,0.39336,0.41006,NaN,0.88718,0.49242,0.63353,0.3438,0.28675,0.31119,0.25542,Sac1
0.55022,0.68035,0.87027,NaN,0.60595,0.43005,0.97278,0.91599,NaN,0.88829,0.51189,0.53934,0.92921,0.83431,NaN,1.1551,Paf-AHalpha
1.9159,0.53682,0.78291,0.78105,0.84296,0.37113,0.88283,0.70803,NaN,0.88917,0.49337,0.55782,0.88942,0.55902,0.86683,0.88505,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.89594,NaN,NaN,NaN,NaN,NaN,0.85279,GstD2
0.73664,0.50208,1.0682,NaN,0.84194,0.71585,1.1521,NaN,0.84339,0.89694,0.85341,NaN,NaN,NaN,NaN,0.5684,Ppt1
0.61242,0.52273,0.74003,NaN,0.81607,NaN,NaN,NaN,0.72708,0.94809,0.63296,0.5552,1.0148,0.80442,NaN,0.78487,Sgt1
0.66055,NaN,0.92052,NaN,0.61466,0.61934,0.82979,0.95399,NaN,0.95466,0.50254,0.5468,2.5871,0.90684,0.94969,1.1491,Arpc3A
NaN,6.0416,1.6114,2.467,NaN,NaN,NaN,1.5407,0.90256,0.95487,NaN,NaN,1.2073,1.2038,NaN,0.8289,Cpr60D
0.69099,0.62914,1.0422,0.86744,0.97245,1.1694,NaN,0.87218,0.95675,0.9782,NaN,0.60893,0.61017,0.7374,NaN,0.81278,parvin
1.0104,0.93864,0.71971,NaN,0.44758,0.65199,0.62628,1.6952,0.87709,0.9805,NaN,0.48167,0.66886,0.68186,NaN,1.4428,larp
0.38092,0.43775,NaN,0.29189,0.2492,0.62345,NaN,NaN,NaN,0.9922,0.18367,0.30671,0.27749,0.25416,3.1181,0.45745,Irp-1A
0.92304,NaN,1.0493,1.1021,NaN,NaN,1.011,NaN,0.77785,1.0093,0.90263,0.74626,NaN,1.1941,NaN,0.85556,
0.48146,0.57353,1.1311,0.67788,0.72019,0.53072,1.0469,NaN,NaN,1.0136,0.97736,0.60777,1.0765,1.1654,0.73045,0.70777,Hmu
0.50055,0.5695,0.59168,0.90211,0.58951,0.56077,0.61767,1.0082,NaN,1.0149,1.1866,0.49667,NaN,NaN,1.0585,1.4033,CG4603
0.97634,1.2177,1.088,1.8184,0.90276,NaN,0.88984,1.1468,NaN,1.0382,NaN,0.7467,NaN,0.8771,0.72305,0.83836,
0.72515,NaN,NaN,0.88388,0.72034,0.5235,0.90686,0.85366,NaN,1.064,NaN,1.0073,2.2492,NaN,0.7895,0.80202,scramb2
1.2715,1.1981,1.289,1.0719,NaN,NaN,NaN,0.80466,NaN,1.0788,1.2161,1.0601,0.97836,1.0482,0.88473,0.78984,Mgstl
0.27783,0.72695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0811,NaN,0.44912,NaN,NaN,NaN,0.95053,CG2061
0.869,0.92707,0.81821,0.84127,0.66248,1.738,0.72126,1.064,0.76291,1.1036,0.92704,0.70656,0.92535,0.76637,NaN,0.72637,
