Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2,Gene names
NaN,2.4264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0133,Pal2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,St1
0.17595,0.23192,NaN,NaN,0.50367,0.66312,NaN,NaN,NaN,NaN,0.10893,0.51721,NaN,NaN,NaN,NaN,wmd
NaN,NaN,NaN,NaN,0.56348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,yellow-d2
NaN,NaN,NaN,2.2677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,yellow-d
0.52436,0.25733,NaN,NaN,0.62516,0.26918,NaN,0.31965,NaN,NaN,0.29289,0.26189,0.65712,0.50931,NaN,0.30378,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.69453,0.68606,NaN,0.88526,NaN,NaN,1.0788,NaN,0.97739,NaN,NaN,0.54712,0.88613,0.84006,NaN,NaN,l(2)06496
1.4557,1.5019,1.5577,1.6847,NaN,NaN,NaN,1.6969,NaN,NaN,NaN,1.49,NaN,NaN,NaN,1.4981,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nup214
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Gmer
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5304,NaN,NaN,asrij
1.3279,0.96989,1.7903,NaN,0.71877,NaN,NaN,NaN,NaN,NaN,3.3123,2.9706,NaN,NaN,3.0269,2.7054,CG3501
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18505,0.13967,Cyp6d2
0.56614,1.0428,NaN,NaN,0.57747,NaN,NaN,NaN,NaN,NaN,NaN,0.59792,NaN,2.2669,NaN,1.3398,Ugt58Fa
0.50518,0.28097,0.36855,0.30905,0.40403,NaN,0.28231,0.25497,NaN,NaN,0.42701,0.43811,NaN,NaN,NaN,0.41513,CG4752-RA
0.2947,0.45844,0.67881,0.7164,0.31228,0.35859,0.6592,0.88684,NaN,NaN,0.50697,0.31065,0.77604,0.7785,0.85792,1.011,mRpS29
0.60801,0.58228,1.1122,1.5793,0.74607,0.81326,NaN,1.7094,NaN,NaN,0.50639,0.61453,1.3158,1.3089,NaN,1.4589,qkr58E-2
1.0394,0.98271,0.90733,0.84647,0.77188,1.7363,NaN,1.1375,NaN,NaN,0.94973,0.74904,1.034,1.0278,0.96174,0.89008,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.40225,NaN,NaN,NaN,NaN,Rtf1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T3dh
0.26568,0.62687,NaN,NaN,2.3952,NaN,NaN,NaN,NaN,NaN,4.5808,0.49226,NaN,NaN,0.82893,0.37261,GM130
NaN,NaN,NaN,NaN,1.1274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,0.44433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,lox2
1.0391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rae1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
5.914,NaN,NaN,NaN,5.3662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Acox57D-p
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG34396-RC
NaN,NaN,NaN,NaN,0.31514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,0.31559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,mRpL54
NaN,1.7572,1.3612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4423,NaN,NaN,NaN,NaN,NaN,CG15653-RA
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.63344,NaN,NaN,NaN,NaN,NaN,dgt3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rx
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sktl
0.45069,0.80252,0.76233,NaN,0.61309,0.60227,0.49228,0.65248,NaN,NaN,0.31446,0.41962,NaN,NaN,NaN,0.66333,nocte
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Hk
NaN,NaN,NaN,NaN,NaN,NaN,1.2557,NaN,1.2858,NaN,NaN,NaN,NaN,NaN,NaN,0.72708,CG2974
0.97177,0.78585,NaN,NaN,0.58356,0.78409,NaN,NaN,NaN,NaN,0.71132,0.68758,NaN,NaN,NaN,NaN,Cht6
0.67127,0.56985,NaN,NaN,NaN,NaN,NaN,0.66725,NaN,NaN,NaN,0.7088,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.44252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG3004
NaN,NaN,NaN,NaN,0.54248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Gga
NaN,NaN,NaN,NaN,NaN,0.90182,0.58821,NaN,0.56252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46908,NaN,NaN,NaN,NaN,NaN,0.35805,0.46894,NaN,c12.2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.36576,NaN,NaN,NaN,NaN,NaN,ric8a
0.58738,0.69627,NaN,NaN,0.59179,NaN,NaN,NaN,NaN,NaN,0.79363,0.60236,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG12056
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Zpr1
NaN,0.57721,0.94722,1.1699,NaN,NaN,1.0578,0.88362,NaN,NaN,0.56343,NaN,NaN,NaN,NaN,NaN,dalao
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,l(1)G0020
0.55029,0.45924,0.6986,0.79142,0.51617,NaN,1.9124,0.90826,NaN,NaN,0.50942,0.46106,0.74121,0.89639,1.9882,0.49209,Hexo2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.27061,NaN,NaN,NaN,NaN,Crag
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG12125-RB
0.65468,0.71883,1.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.33915,NaN,NaN,NaN,NaN,0.34902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37516,0.61282,0.23389,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIIIspla2
0.4412,2.7751,0.81763,0.5461,NaN,0.65179,1.0152,0.60217,NaN,NaN,NaN,0.55968,0.24393,0.28669,NaN,NaN,
1.1744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.2639,0.43498,0.67808,NaN,0.70602,1.4288,NaN,NaN,NaN,NaN,0.27997,0.25654,0.43794,0.39508,NaN,0.51185,
0.21771,NaN,NaN,NaN,0.19306,NaN,NaN,NaN,NaN,NaN,NaN,0.2771,NaN,NaN,0.62172,NaN,p115
1.5378,1.4486,0.93101,0.98762,NaN,NaN,0.91813,0.98833,NaN,NaN,1.845,2.4885,0.93704,NaN,0.79845,0.76299,
NaN,NaN,NaN,NaN,0.53992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG1677-RA
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG4593-RA
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG32736
NaN,1.1317,NaN,NaN,NaN,NaN,NaN,1.0551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1056,bou
0.47159,0.59933,NaN,NaN,0.91076,0.58212,NaN,NaN,NaN,NaN,0.49436,0.41119,0.65227,0.52384,0.56567,0.61798,
0.77458,NaN,NaN,NaN,0.72143,NaN,NaN,NaN,NaN,NaN,NaN,0.92016,NaN,NaN,NaN,NaN,
0.53194,1.7625,NaN,NaN,0.49731,NaN,NaN,NaN,NaN,NaN,0.88317,0.38429,NaN,NaN,NaN,NaN,CG12542
NaN,NaN,0.72633,NaN,NaN,NaN,0.80746,NaN,0.67143,NaN,NaN,NaN,0.78032,0.82239,NaN,0.81195,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,COQ7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,1.8793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spt6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,schlank
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spx
1.8145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,raptor
0.88405,0.64517,NaN,1.1602,NaN,0.36955,NaN,NaN,NaN,NaN,NaN,0.66229,1.1274,NaN,0.96656,1.6352,CG4666
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Tsp5D
NaN,NaN,1.0127,1.0341,NaN,NaN,NaN,0.83375,NaN,NaN,NaN,NaN,0.74415,0.8629,1.4007,1.4492,
0.2157,0.33126,NaN,0.74953,0.5098,0.65877,NaN,NaN,NaN,NaN,0.43055,0.22991,NaN,NaN,NaN,NaN,
0.33454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.60148,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,lin-52
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NAAT1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
1.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.98933,NaN,1.3303,NaN,NaN,NaN,CG3556
0.1849,0.72439,0.12316,0.23036,0.36332,NaN,0.24001,0.34645,NaN,NaN,0.48142,0.093274,0.29633,0.22208,0.73509,0.24593,
0.73354,0.45077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46826,0.43113,NaN,NaN,1.8822,2.5055,mRpL33
NaN,NaN,NaN,NaN,0.19387,0.14978,NaN,NaN,NaN,NaN,0.15709,NaN,NaN,NaN,NaN,NaN,CG6133
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,2.0122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG2930-RA
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.22679,0.26195,0.29295,0.44087,0.41555,0.22039,0.3754,0.41499,0.4766,NaN,0.31292,0.55703,0.36198,0.29195,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,dnc
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.67777,NaN,NaN,0.4461,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,mRpL14
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,l(1)G0144
0.35116,NaN,0.50452,0.52305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17639,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mct1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.40455,0.26837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,eIF2B-epsilon
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,mip130
0.19605,0.2027,NaN,NaN,0.24231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,mRpL16
NaN,NaN,NaN,NaN,0.77321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG14805-RA
NaN,NaN,NaN,NaN,NaN,NaN,2.3564,NaN,NaN,NaN,0.63321,NaN,NaN,NaN,NaN,NaN,CG14817-RA
0.34389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EG:BACN32G11.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG14770-RA
NaN,0.30117,0.64082,0.42507,0.30659,0.23364,NaN,NaN,0.51319,NaN,0.24832,0.26848,0.60885,1.2167,NaN,NaN,EG:103E12.2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRAM
NaN,0.51079,NaN,NaN,NaN,0.77323,NaN,NaN,NaN,NaN,0.60032,NaN,NaN,NaN,NaN,NaN,Roc1a
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,l(1)1Bi
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8473,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,0.3697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.36044,NaN,NaN,0.31319,0.28311,NaN,5.2076,0.48193,NaN,NaN,0.31628,NaN,NaN,2.9563,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,0.37711,0.52343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4137,CG9572-RA
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2705,NaN,0.68596,Nep3
NaN,NaN,NaN,NaN,1.5554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.49322,NaN,NaN,NaN,sec10
0.20869,4.3414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.27723,0.26448,NaN,NaN,0.13508,0.34705,pic
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Vha100-1
0.39076,0.28394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.82852,NaN,NaN,Ublcp1
NaN,1.4341,NaN,0.43957,2.4826,NaN,NaN,NaN,NaN,NaN,3.7066,2.9373,NaN,NaN,4.7609,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,snama
NaN,NaN,NaN,NaN,1.5503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Thor
NaN,NaN,NaN,NaN,0.38768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3661,0.79236,NaN,NaN,sra
NaN,0.48914,NaN,NaN,0.27081,NaN,NaN,NaN,NaN,NaN,0.52082,NaN,NaN,NaN,NaN,NaN,Cas
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,fl(2)d
1.3802,0.30939,0.6076,0.67509,0.77034,0.39309,NaN,0.73824,NaN,NaN,0.44135,0.51008,0.61678,NaN,0.7853,0.66149,Abi
NaN,NaN,NaN,NaN,1.6907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Tim9b
0.4718,0.48071,0.70779,0.79085,0.84319,NaN,NaN,0.84366,NaN,NaN,0.51959,0.43226,0.89665,0.81716,0.62641,0.66842,epsilonCOP
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Madm
NaN,1.2887,NaN,1.0748,1.3346,1.3539,0.91055,1.0227,NaN,NaN,2.0071,1.1049,NaN,0.99801,1.1159,NaN,BcDNA.GH10229
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CG3149
0.27877,NaN,NaN,0.32606,0.2525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46811,NaN,cert
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,l(2)35Df
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81644,CG7601
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BcDNA.GH04978
NaN,NaN,NaN,NaN,9.2441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,obst-B
2.2624,NaN,0.27499,NaN,1.4697,NaN,NaN,1.2299,0.18322,NaN,NaN,NaN,0.60241,NaN,8.0098,0.61956,vav;Vav
0.84018,NaN,0.91253,NaN,1.8828,0.6939,0.66572,0.40729,0.31668,0.36532,0.40066,0.9034,0.30154,0.36129,2.4075,NaN,MAPk-Ak2
NaN,0.24518,NaN,0.3228,0.24483,NaN,NaN,NaN,0.30617,0.26708,1.3353,0.28813,NaN,NaN,2.1766,NaN,Arp66B
0.25471,0.30711,0.30715,0.23733,0.39256,0.35108,0.29726,0.20805,0.34615,0.29832,0.36573,0.31584,0.36166,0.45116,2.3607,0.70953,MRP
0.5128,0.78827,0.21733,0.16215,NaN,NaN,0.2718,0.47618,0.096249,0.25749,NaN,0.63219,0.4856,0.43952,0.535,0.29483,PGRP-SB1
0.21541,0.13222,0.35948,0.21537,0.25319,4.2047,0.22631,0.28081,0.22852,0.21875,0.42478,0.19266,0.18711,0.30791,1.1924,0.34448,Ide
10.879,12.113,1.1545,1.113,12.262,8.5478,1.0354,1.0181,0.21691,0.19969,20.99,18.216,3.2456,3.3692,1.0087,0.9648,
NaN,NaN,NaN,NaN,NaN,0.2911,0.23823,NaN,0.18425,0.16494,NaN,NaN,0.16271,NaN,0.72429,0.33267,Epac
NaN,NaN,1.0941,0.251,NaN,0.37459,0.43367,0.26302,0.12638,0.26166,NaN,NaN,0.35716,0.35748,0.45962,0.3493,mmd
0.31303,2.3934,0.20126,0.20914,0.32252,0.49293,0.27139,0.38501,0.55162,0.37979,0.61908,0.56133,0.3294,0.37586,1.9909,0.40932,Cyp313a1
0.12412,0.55985,NaN,0.046622,0.23983,0.4008,0.24202,NaN,0.13747,NaN,0.1416,0.22177,NaN,1.8226,0.4888,NaN,pod1
0.2851,0.21897,1.8142,1.9643,0.21758,0.21462,3.6515,3.6061,4.6484,12.6,0.18461,0.31404,4.9286,5.1389,16.081,14.693,
0.26402,0.29106,0.3082,0.25684,0.58562,0.5222,1.6032,0.26494,0.23275,0.22729,0.24655,0.33918,0.61681,0.57154,0.79931,0.27403,AIF
NaN,NaN,4.2164,NaN,1.3066,1.7116,4.3239,3.5795,1.3471,1.0666,NaN,NaN,5.3661,1.4749,4.4905,0.92802,
0.30724,0.2676,0.39306,0.38212,0.57226,3.8025,0.30091,NaN,0.13142,0.16994,0.14732,0.30218,0.99417,0.28856,0.43419,0.43391,emb
0.37077,0.25583,0.39105,0.37911,0.44442,0.49261,0.39691,0.293,0.35949,0.3621,0.33773,0.42592,0.42664,0.3536,1.1691,0.39945,Dlic
0.11092,0.082629,0.10286,0.051393,0.27651,0.15025,0.086231,0.15882,0.043909,0.060774,0.11406,0.23047,0.081004,0.098133,0.14181,0.13436,rdgA
0.75253,0.9177,1.3375,1.5674,0.46694,0.53076,1.1706,1.23,0.42812,0.59059,0.81082,0.76731,1.4453,0.39917,1.3763,0.38935,ScpX
0.15455,0.49896,0.40748,0.30257,0.37197,0.17542,0.40416,0.51065,0.34427,NaN,0.30336,0.24874,0.34898,0.35055,1.0418,0.745,
0.23752,0.2601,0.2313,0.11877,NaN,NaN,0.3788,0.21861,0.22149,0.06453,NaN,NaN,0.10085,0.19591,0.64688,0.14963,AttC
0.60109,0.17459,NaN,NaN,0.56064,0.12774,0.63873,NaN,0.55051,0.20737,0.24497,0.76331,NaN,2.6074,1.5888,NaN,brm
0.26727,0.29449,NaN,0.49079,0.52862,0.46472,NaN,0.50043,0.23224,NaN,0.45326,0.33069,0.46082,0.4553,0.65401,NaN,l(2)gl
0.25012,0.21516,0.1435,0.15573,0.23033,0.25522,0.22643,0.26696,0.19848,0.33661,0.26472,0.14176,0.44125,0.55906,0.55657,0.2015,Aats-ile
0.20231,0.24763,0.22546,NaN,0.45992,0.87975,0.45342,0.30876,0.17757,0.44208,0.27429,0.26866,0.8016,0.2988,0.47464,0.37101,SPoCk
0.26042,0.1441,NaN,0.1484,0.35327,0.33705,NaN,0.25092,0.26523,0.48554,0.79281,0.29374,0.29297,1.1787,0.68313,0.35841,unc-104
0.45026,0.60559,NaN,0.56599,0.26753,0.64951,0.84687,0.67686,0.48073,0.60923,0.52031,0.31846,0.62076,NaN,1.2298,1.0125,mor
1.1801,0.88726,2.6875,2.1608,0.96482,0.58195,1.9051,1.8119,1.4997,1.8247,0.91054,0.88228,NaN,1.6083,3.6993,2.8749,Cpr50Cb
1.2911,1.3719,1.5304,1.7115,1.2662,1.1902,1.056,1.1217,0.83773,0.80867,1.4497,1.6551,1.3397,1.3131,1.9994,1.6804,
0.65595,0.27706,NaN,NaN,0.13195,NaN,NaN,NaN,0.087271,0.16677,0.087572,NaN,NaN,NaN,0.20786,0.52436,Hsp22
NaN,NaN,NaN,0.41271,NaN,NaN,NaN,NaN,0.19641,NaN,NaN,0.26181,NaN,0.60776,0.46245,0.57665,Ih
0.9548,1.0415,0.88533,0.80453,NaN,1.4441,0.99148,1.0684,0.76278,0.80454,1.1086,1.411,0.73088,0.91056,1.7819,1.0742,
1.1121,1.0907,0.84837,NaN,NaN,0.98917,0.3601,0.4193,0.24313,0.18189,1.1686,1.1133,0.71805,0.6269,0.56721,0.50219,lectin-28C
0.3411,0.37224,0.17996,0.38116,2.7275,1.071,0.46563,0.41512,0.15779,0.31305,NaN,NaN,0.32398,0.19134,0.36644,0.41875,l(2)k14710
0.53936,0.96207,0.52589,0.77876,NaN,0.58943,0.5114,1.3568,0.51252,0.41411,NaN,1.0024,0.66023,0.51907,1.1821,0.76791,
NaN,NaN,0.37731,0.1692,NaN,NaN,0.37475,0.58184,0.076789,0.057587,NaN,NaN,NaN,0.27788,0.17583,0.16927,AttB;AttA
NaN,NaN,0.38383,0.19616,NaN,0.48013,0.43051,0.28455,0.2488,0.41539,NaN,NaN,0.42545,0.47011,0.56802,NaN,CG8475
0.24424,0.15492,0.52378,0.33866,0.12424,0.22473,0.46228,0.24278,0.15618,0.36594,0.16016,0.17155,0.37971,0.46202,0.35371,0.1872,betaTub60D
0.3903,0.23552,0.21349,NaN,0.27354,0.60161,NaN,0.21607,0.17542,NaN,0.21479,0.15782,NaN,0.22829,0.39703,0.1527,Gfat2
0.28948,0.21818,0.53759,0.5157,0.22037,0.32725,0.62584,0.72401,0.40504,0.55488,0.24722,0.32798,0.69956,0.65685,0.88645,0.88315,FKBP59
